time,single
43,0
43,0
43,0
43,0
43,0
43,0
43,10
43,0
43,0
43,0
44,0
44,0
44,0
44,0
44,0
44,0
44,0
44,0
44,0
44,0
44,0
44,0
44,0
44,0
44,0
44,7
44,16
44,10
44,10
44,16
44,27
45,26
45,35
45,43
45,42
45,40
45,48
45,65
45,57
45,64
45,76
45,75
45,90
45,92
45,102
45,110
45,109
45,113
45,126
45,126
86,144
86,176
87,203
87,222
87,251
87,285
87,335
87,333
129,305
129,374
129,399
129,414
129,443
129,482
129,489
129,546
129,531
171,560
171,582
171,591
171,617
171,638
171,642
171,663
172,679
215,691
215,704
215,720
215,722
215,752
215,756
215,765
215,784
259,827
259,790
259,805
259,814
259,829
260,822
260,825
260,838
260,838
302,842
303,846
303,848
303,847
303,842
303,822
303,851
303,852
344,848
344,853
344,853
344,849
344,848
344,847
344,843
344,848
388,836
389,839
389,832
389,827
389,829
389,815
389,813
389,810
431,805
431,793
431,789
431,784
431,783
431,775
431,767
432,753
475,753
475,742
475,739
475,727
475,717
475,725
475,704
475,703
475,695
519,683
520,672
520,667
520,653
520,647
520,635
520,625
520,622
563,615
563,623
563,599
563,583
563,576
563,575
563,560
563,556
564,544
610,525
610,523
610,511
610,497
610,486
610,482
610,467
610,462
610,464
653,449
653,436
653,432
653,416
653,410
653,397
653,388
653,379
697,369
697,365
697,349
697,352
697,334
697,334
697,323
697,307
742,301
743,290
743,277
743,272
743,272
743,253
743,245
743,234
743,240
784,220
784,207
784,203
785,204
785,187
785,172
785,172
785,166
826,143
826,149
826,127
826,125
827,127
827,111
827,113
827,100
869,86
869,85
869,82
869,106
869,64
869,64
869,51
869,37
869,48
869,48
912,68
912,43
912,33
912,53
912,22
912,27
912,25
912,21
912,48
912,13
954,0
954,14
954,15
954,11
954,3
954,12
954,0
954,0
954,0
954,0
954,5
954,0
954,0
1000,0
1000,0
1000,0
1000,0
1000,0
1000,0
1000,0
1000,0
1000,0
1000,0
1000,0
1000,0
1000,0
1000,0
1043,0
1043,0
1043,0
1043,0
1044,0
1044,0
1044,0
1044,0
1044,0
1044,2
1044,0
1044,0
1044,0
1044,0
1091,0
1092,0
1092,0
1092,0
1092,0
1092,0
1092,0
1092,0
1092,0
1092,0
1092,0
1092,0
1092,0
1092,0
1092,0
1092,0
1136,0
1136,0
1136,0
1136,0
1136,0
1136,0
1136,0
1136,0
1136,0
1137,0
1137,0
1137,0
1137,0
1137,0
1178,0
1178,0
1178,0
1178,0
1178,0
1179,0
1179,0
1179,0
1179,0
1179,0
1179,0
1179,0
1179,0
1222,0
1222,0
1222,0
1222,0
1222,0
1222,0
1222,0
1222,0
1222,0
1222,0
1222,0
1222,0
1222,0
1222,0
1264,0
1264,0
1264,0
1264,0
1264,0
1264,0
1264,0
1264,0
1264,0
1264,0
1264,0
1264,0
1264,0
1265,0
1307,0
1307,0
1307,0
1307,0
1307,0
1307,0
1307,0
1307,0
1307,0
1307,0
1307,0
1307,0
1307,0
1307,0
1350,0
1350,0
1350,0
1350,0
1350,0
1350,0
1350,0
1350,0
1350,0
1351,0
1351,0
1351,0
1351,0
1395,0
1395,0
1395,0
1395,0
1395,0
1395,0
1396,0
1396,0
1396,0
1396,0
1396,0
1396,0
1396,0
1396,0
1396,0
1437,0
1437,0
1438,0
1438,0
1438,0
1438,0
1438,0
1438,0
1438,0
1438,0
1439,0
1439,0
1439,0
1480,7
1480,0
1480,0
1480,0
1480,0
1480,0
1480,0
1480,0
1481,0
1481,0
1481,0
1481,0
1481,0
1481,0
1523,31
1523,0
1523,0
1523,0
1523,0
1523,0
1523,0
1523,0
1523,0
1523,0
1523,0
1523,0
1523,0
1571,0
1571,0
1571,0
1571,0
1571,0
1571,0
1571,0
1571,0
1571,0
1571,0
1571,0
1571,0
1571,0
1571,0
1571,0
1615,0
1615,13
1615,0
1615,0
1615,0
1615,0
1615,0
1615,0
1615,0
1615,0
1615,0
1616,0
1616,0
1616,0
1616,0
1658,0
1658,0
1658,0
1658,0
1658,0
1659,0
1659,0
1659,0
1659,0
1659,0
1659,0
1659,0
1659,0
1702,0
1703,0
1703,0
1703,0
1703,0
1703,0
1703,0
1703,0
1703,0
1703,0
1703,0
1703,0
1703,0
1703,0
1746,0
1746,0
1746,0
1746,0
1746,0
1746,0
1746,0
1746,0
1746,0
1746,0
1746,0
1746,0
1746,0
1746,0
1788,0
1788,0
1788,0
1788,0
1788,0
1788,0
1788,0
1788,0
1788,0
1788,0
1788,0
1788,0
1788,0
1789,0
1831,0
1831,0
1832,0
1832,0
1832,0
1832,0
1832,0
1832,0
1832,0
1832,0
1832,0
1832,0
1832,0
1832,0
1875,0
1875,0
1875,0
1875,0
1875,0
1875,0
1875,0
1875,0
1875,0
1875,0
1875,0
1875,0
1875,0
1875,0
1918,0
1919,0
1919,0
1919,0
1919,0
1919,0
1919,0
1919,0
1919,0
1919,0
1919,0
1919,0
1919,0
1919,0
1961,0
1962,0
1962,0
1962,0
1962,0
1962,0
1962,0
1962,0
1962,0
1962,0
1962,0
1962,0
1962,0
1962,0
2005,0
2005,0
2005,0
2005,0
2005,0
2006,0
2006,0
2006,0
2006,0
2006,0
2006,0
2006,0
2006,0
2006,0
2049,0
2049,0
2049,0
2049,0
2049,0
2049,0
2049,0
2049,0
2049,0
2049,0
2050,0
2050,0
2050,0
2050,0
2091,0
2091,0
2091,0
2091,0
2091,0
2091,0
2092,0
2092,0
2092,0
2092,0
2092,0
2092,0
2092,0
2135,0
2135,0
2135,0
2135,0
2135,0
2135,0
2135,0
2135,0
2135,0
2135,0
2135,0
2135,0
2135,0
2135,0
2177,0
2177,0
2177,0
2177,0
2177,0
2177,0
2177,0
2177,0
2177,0
2177,0
2178,0
2178,0
2178,0
2178,0
2220,0
2221,0
2221,0
2221,0
2221,0
2221,0
2221,0
2221,0
2221,0
2221,0
2221,0
2221,0
2221,0
2262,0
2262,0
2262,0
2262,0
2262,0
2262,0
2263,0
2263,0
2263,0
2263,0
2263,0
2263,0
2263,0
2263,0
2305,0
2305,0
2305,0
2305,0
2305,0
2305,0
2305,0
2305,0
2305,0
2305,0
2306,0
2306,0
2306,0
2348,0
2348,0
2348,0
2348,0
2348,0
2348,0
2348,0
2348,0
2348,0
2348,0
2348,0
2348,0
2348,0
2348,0
2390,0
2390,0
2390,0
2390,0
2390,0
2390,0
2390,0
2390,0
2390,0
2390,0
2390,0
2390,0
2390,0
2434,0
2434,0
2434,0
2434,0
2434,0
2434,0
2434,0
2434,0
2434,0
2435,0
2435,0
2435,0
2435,0
2435,0
2435,0
2476,0
2476,0
2476,0
2476,0
2476,0
2476,0
2476,0
2477,0
2477,0
2477,0
2477,0
2477,0
2477,0
2522,0
2522,0
2522,0
2522,0
2522,0
2522,0
2522,0
2522,0
2522,0
2522,0
2522,0
2522,0
2522,0
2522,0
2522,0
2563,0
2563,0
2563,0
2563,0
2564,0
2564,0
2564,0
2564,0
2564,0
2564,0
2564,0
2564,0
2564,0
2608,0
2608,0
2608,0
2608,0
2608,0
2608,0
2608,0
2608,0
2608,0
2608,0
2608,0
2608,0
2608,0
2608,0
2651,0
2651,0
2651,0
2651,0
2651,0
2651,0
2651,0
2651,0
2651,0
2651,0
2651,0
2651,0
2651,0
2651,0
2695,0
2695,0
2695,0
2695,0
2695,0
2695,0
2695,0
2695,0
2695,0
2695,0
2695,0
2695,0
2695,0
2695,0
2743,0
2743,0
2743,0
2743,0
2743,0
2743,0
2743,0
2743,0
2743,0
2743,0
2743,0
2743,0
2743,0
2743,0
2785,0
2785,0
2785,0
2785,0
2785,0
2785,0
2785,0
2785,0
2785,0
2785,0
2785,0
2785,0
2785,0
2785,0
2786,0
2829,0
2829,0
2829,0
2829,0
2829,0
2829,0
2829,0
2829,0
2829,0
2829,0
2829,0
2829,0
2829,0
2830,0
2871,0
2871,0
2872,0
2872,0
2872,0
2872,0
2872,0
2872,0
2872,0
2872,0
2872,0
2872,0
2872,0
2872,0
2919,0
2919,0
2919,0
2919,0
2919,0
2919,0
2919,0
2919,0
2919,0
2919,0
2919,0
2919,0
2919,0
2919,0
2919,0
2961,0
2961,0
2961,0
2961,0
2962,0
2962,0
2962,0
2962,0
2962,0
2962,0
2962,0
2962,0
2962,0
2962,0
3005,0
3005,0
3005,0
3005,0
3005,0
3005,0
3005,0
3005,0
3005,0
3005,0
3005,0
3005,0
3005,0
3050,0
3050,0
3050,0
3050,0
3050,0
3050,0
3050,0
3050,0
3050,0
3050,0
3050,0
3050,0
3050,0
3050,0
3051,0
3093,14
3093,0
3093,0
3093,0
3093,0
3093,0
3094,0
3094,0
3094,0
3094,0
3094,0
3094,0
3094,0
3136,0
3136,0
3136,0
3136,0
3136,0
3136,0
3136,0
3136,0
3136,0
3136,0
3136,0
3136,0
3136,0
3136,0
3178,0
3178,0
3178,0
3178,0
3178,0
3178,0
3178,0
3178,0
3178,0
3178,0
3178,0
3178,0
3179,0
3226,0
3226,0
3226,0
3226,0
3226,0
3226,0
3226,0
3226,0
3226,0
3226,0
3226,0
3226,0
3226,7
3226,0
3226,0
3226,0
3270,0
3270,0
3270,0
3270,0
3270,0
3271,0
3271,0
3271,0
3271,0
3271,0
3271,0
3271,0
3271,0
3271,0
3313,0
3314,0
3314,0
3314,0
3314,0
3314,0
3314,0
3314,0
3314,0
3314,0
3314,0
3314,0
3314,0
3314,3
3356,2
3356,26
3357,0
3357,0
3357,0
3357,0
3357,0
3357,0
3357,0
3357,0
3357,0
3357,0
3357,0
